Code,Kpa
1,36
2,35
3,29
4,33
5,30
6,32
7,31
8,26
9,28
10,33
11,30
12,30
13,38
14,32
15,30
16,33
17,33
18,31
19,29
20,29
21,34
22,33
23,38
24,38
25,30
26,32
27,38
28,32
29,31
30,30
31,32
32,32
33,36
34,38
35,34
36,38
37,36
38,35
39,36
40,40
41,36
42,35
43,40
44,40
45,40
46,40
47,36
