Residence,Work,Commute rate
28,14,0.000447912
11,27,0.000445345
12,9,0.000443157
43,42,0.000442027
42,27,0.000440474
13,10,0.000438863
34,40,0.000437401
40,46,0.000436301
15,11,0.000421283
4,5,0.000420891
44,45,0.000420559
42,35,0.000418483
15,6,0.000412527
32,33,0.000406812
24,22,0.000405246
14,9,0.000403007
4,11,0.000388959
34,28,0.000378606
42,14,0.000377562
24,28,0.000373417
12,7,0.000371872
29,14,0.00037152
19,12,0.000369164
27,14,0.000366941
23,14,0.000364935
3,12,0.000357452
26,14,0.000356791
1,4,0.00035224
33,23,0.000346491
31,13,0.000345681
15,10,0.000341717
11,4,0.000338473
16,27,0.00033794
27,34,0.000334484
13,7,0.000333861
38,28,0.000333268
10,7,0.000331669
14,7,0.000330508
12,4,0.000327853
38,33,0.000327626
11,22,0.000326997
41,46,0.000325602
45,38,0.000323933
14,4,0.000322787
35,33,0.000320658
12,22,0.000319134
42,28,0.000318725
15,4,0.000317677
43,27,0.000317278
3,11,0.000317068
14,10,0.000317027
45,27,0.000312938
27,40,0.000311752
28,31,0.00031009
27,33,0.000308936
13,4,0.000306698
32,13,0.000302038
39,34,0.00030125
28,40,0.000301201
30,23,0.000300109
28,24,0.000298018
40,23,0.000298011
1,14,0.000296433
44,41,0.000295906
36,33,0.000293818
25,14,0.000293742
12,10,0.000293475
35,28,0.000293266
32,27,0.000290178
4,9,0.000287353
7,12,0.000286734
4,1,0.000286487
40,14,0.00028549
24,14,0.000285161
11,20,0.000280422
9,4,0.000279567
28,30,0.000278098
44,35,0.000277162
22,11,0.000276663
13,20,0.00027636
39,33,0.000272872
44,27,0.000270967
42,44,0.000268662
6,14,0.000268002
17,15,0.000267336
44,42,0.000265956
39,28,0.000265524
4,12,0.00026417
21,16,0.000263319
4,22,0.000258674
1,7,0.00025582
19,23,0.000255492
5,14,0.000253893
28,36,0.000253497
17,14,0.000252797
44,38,0.000252549
21,14,0.000249931
40,45,0.000246972
5,11,0.000246179
46,27,0.000245413
14,40,0.000244937
26,34,0.000244567
32,28,0.000242803
33,35,0.000242734
15,14,0.000242425
20,12,0.000238801
21,18,0.000238203
11,15,0.000235385
41,27,0.000233265
6,3,0.00022874
18,28,0.000227859
4,27,0.000227494
35,38,0.000227178
42,23,0.000227127
29,22,0.00022712
33,40,0.00022705
22,27,0.00022466
3,8,0.000223621
3,1,0.000223006
44,34,0.000222541
47,40,0.000222037
29,33,0.000221751
4,8,0.000221737
28,37,0.000218418
17,25,0.000218206
34,14,0.000217826
34,23,0.000217575
17,26,0.00021592
18,21,0.000214858
4,15,0.000214487
28,18,0.000214128
16,14,0.00021388
14,20,0.0002135
21,26,0.00021308
22,12,0.000212898
29,12,0.000211931
34,37,0.000211719
41,35,0.000210668
29,40,0.000209642
40,28,0.000208635
45,34,0.000208455
19,8,0.000208329
25,22,0.000208125
24,11,0.000208064
27,12,0.000207835
4,38,0.000207661
28,12,0.000206729
47,14,0.00020637
23,20,0.000205457
26,33,0.000200655
26,30,0.000200431
8,4,0.000200426
41,34,0.000200279
14,28,0.000196918
36,34,0.000196565
43,34,0.000195022
38,14,0.000194554
15,12,0.000194392
45,35,0.000194235
16,20,0.000193662
43,35,0.000193051
12,40,0.000192114
40,47,0.000191704
33,32,0.000191499
31,26,0.000189728
12,28,0.000189076
23,25,0.000188954
2,8,0.000188237
38,35,0.00018786
18,7,0.00018676
34,31,0.000186559
19,7,0.000185942
33,38,0.000185688
7,3,0.000185476
26,40,0.000184601
25,33,0.000183678
41,23,0.000183487
42,33,0.000182789
11,19,0.000182426
29,11,0.000182396
5,12,0.000181086
44,14,0.000180036
1,12,0.000178801
1,23,0.000178227
26,22,0.000177652
25,17,0.000177418
12,1,0.000177079
2,23,0.000176999
13,40,0.000175795
23,26,0.000174627
35,44,0.00017435
45,33,0.000173934
31,14,0.000173025
6,11,0.000172644
1,11,0.000172559
33,14,0.000171977
8,27,0.000170556
8,22,0.000169246
38,23,0.000169237
27,22,0.000169159
1,3,0.000169115
7,10,0.000169051
27,18,0.000168769
20,22,0.000168635
45,28,0.000167731
43,23,0.000167016
8,23,0.00016613
43,38,0.000165344
31,23,0.00016484
46,38,0.000164571
23,28,0.000164518
10,4,0.000163279
9,27,0.000163039
26,21,0.000162996
33,26,0.000162034
43,14,0.000161352
14,1,0.000161254
43,28,0.000161248
10,23,0.000161234
13,1,0.000161152
19,4,0.000161041
13,15,0.000161012
26,17,0.00016097
37,40,0.000160679
36,23,0.000160195
26,12,0.000159772
4,23,0.000159682
13,28,0.000158995
46,34,0.000158068
5,15,0.000157688
9,23,0.000157555
46,23,0.000156447
21,28,0.000156388
27,11,0.000155069
44,24,0.000154782
14,15,0.000153867
35,14,0.000153614
6,9,0.000152388
42,12,0.000152031
11,1,0.000150741
11,40,0.000150593
47,27,0.000150554
29,21,0.000150098
38,40,0.000149746
45,4,0.000149576
40,12,0.000149504
28,4,0.000148933
31,35,0.000147802
22,24,0.000147421
17,21,0.000147325
20,16,0.00014714
15,17,0.000146602
27,37,0.000145823
37,23,0.00014571
44,28,0.000145331
17,20,0.000144653
12,15,0.000143584
29,4,0.000143524
28,11,0.000143155
12,20,0.000142537
41,28,0.000142459
28,22,0.0001423
44,46,0.000142101
3,24,0.000142035
19,10,0.000141607
26,11,0.000140993
2,9,0.000140694
10,22,0.000140614
3,6,0.000140235
46,14,0.000139663
45,14,0.000139299
25,11,0.000138926
17,11,0.000138625
40,33,0.000137644
17,28,0.00013521
18,14,0.000135049
2,15,0.000134657
45,42,0.000134219
46,44,0.000133714
37,14,0.000133282
10,27,0.000132976
3,38,0.00013257
29,18,0.000132439
9,22,0.000132132
23,11,0.000131269
42,46,0.000130739
23,12,0.000129896
30,25,0.000128322
27,4,0.000127537
14,34,0.000126995
25,34,0.000126786
