Dep_reg_code,Arr_reg_code,Total
8,37,2.9
8,38,1.5
8,39,0
8,40,54.271
8,41,0.2
8,42,0.2
8,43,0.3
8,44,0.5
8,45,0
8,46,0.1
8,47,46.633
9,1,12.2
9,2,31.6
9,3,50.8
9,4,210.3
9,5,14.6
9,6,39.4
9,7,368.4
9,8,1510.2
9,9,0
9,10,737.8
9,11,5691.5
9,12,349.3
9,13,8878.6
9,14,807.3
9,15,39.1
9,16,13.1
9,17,21.2
9,18,5.3
9,19,42.5
9,20,30.2
9,21,9.2
9,22,87.6
9,23,99.5
9,24,3.5
9,25,7.1
9,26,64.3
9,27,86.4
9,28,32.2
9,29,1.8
9,30,3.2
9,31,0.8
9,32,0.6
9,33,10.2
9,34,22.4
9,35,3.5
9,36,0
9,37,2.6
9,38,1.6
9,39,0
9,40,6.1
9,41,0.5
9,42,0
9,43,0.6
9,44,0.5
9,45,0
9,46,0.2
9,47,0
10,1,2.8
10,2,9.1
10,3,11.2
10,4,36.4
10,5,7.3
10,6,10.7
10,7,19.2
10,8,33.6
10,9,731.8
10,10,0
10,11,4447.3
10,12,199
10,13,4988.5
10,14,375.3
10,15,236.6
10,16,27.7
10,17,49
10,18,7.7
10,19,5.9
10,20,315.9
10,21,5.5
10,22,38.1
10,23,53.4
10,24,1.6
10,25,3.3
10,26,48.1
10,27,52.8
10,28,20.1
10,29,1
10,30,2.1
10,31,0
10,32,0.4
10,33,6.9
10,34,11.3
10,35,2.2
10,36,0
10,37,1.7
10,38,0.9
10,39,0
10,40,4
10,41,0.1
10,42,0
10,43,0.2
10,44,0.4
10,45,0
10,46,0
10,47,0
11,1,60.3
11,2,194.2
11,3,274.4
11,4,744.4
11,5,106.3
11,6,194.9
11,7,537.6
11,8,2808.4
11,9,5665.2
11,10,4400.399
11,11,0
11,12,22784.5
11,13,261014
11,14,9287.8
11,15,782.5
11,16,168.5
11,17,249.7
11,18,26.6
11,19,178.7
11,20,831
11,21,23.4
11,22,261.7
11,23,207.9
11,24,7
11,25,13.4
11,26,105.8
11,27,186.9
11,28,78.3
11,29,3.6
11,30,6.9
11,31,1.9
11,32,1.9
11,33,23.7
11,34,37.5
11,35,9.1
11,36,0.4
11,37,7.6
11,38,4.2
11,39,1.1
11,40,16.4
11,41,1.3
11,42,0.9
11,43,1.5
11,44,1.7
11,45,0
11,46,1.5
11,47,0
12,1,914.457
12,2,86.7
12,3,95.2
12,4,278.47
12,5,36.8
12,6,92.002
12,7,145
12,8,9601.1
12,9,346.3
12,10,196.8
12,11,22691.1
12,12,0
12,13,270818.722
12,14,11251.202
12,15,229.563
12,16,48
12,17,63.431
12,18,17.7
12,19,151.6
12,20,286.7
12,21,49.1
12,22,453.9
12,23,710.352
12,24,9.5
12,25,29.1
12,26,213.2
12,27,888.831
12,28,145.8
12,29,4.8
12,30,9.4
12,31,2.1
12,32,2.3
12,33,50
12,34,198.069
12,35,17.7
12,36,0.7
12,37,132.736
12,38,123.197
12,39,49.189
12,40,637.211
12,41,61.977
12,42,54.4
12,43,114.631
12,44,76.858
12,45,68.343
12,46,113.4
12,47,412.354
13,1,6457.435
13,2,1351.939
13,3,1462.6
13,4,3952.3
13,5,966.384
13,6,1275.173
13,7,2667.6
13,8,19614.5
13,9,8836.1
13,10,4989.6
13,11,261226.5
13,12,270970.525
13,13,0
13,14,312205.674
13,15,3721
13,16,1238.268
13,17,1832.307
13,18,304.4
13,19,5576.4
